id,Database
37377,Neisseria
37378,Neisseria
37379,Neisseria
37380,Neisseria
37381,Neisseria
37382,Neisseria
37383,Neisseria
37384,Neisseria
37385,Neisseria
37386,Neisseria
37387,Neisseria
37388,Neisseria
37389,Neisseria
37390,Neisseria
37391,Neisseria
37392,Neisseria
37393,Neisseria
37394,Neisseria
37395,Neisseria
37396,Neisseria
37397,Neisseria
37398,Neisseria
37399,Neisseria
37400,Neisseria
37401,Neisseria
37402,Neisseria
37403,Neisseria
37404,Neisseria
37405,Neisseria
37406,Neisseria
37407,Neisseria
37408,Neisseria
37409,Neisseria
37410,Neisseria
37412,Neisseria
37413,Neisseria
37414,Neisseria
37415,Neisseria
37416,Neisseria
37417,Neisseria
37418,Neisseria
37419,Neisseria
37420,Neisseria
37421,Neisseria
37422,Neisseria
37423,Neisseria
37424,Neisseria
37425,Neisseria
37426,Neisseria
37427,Neisseria
37428,Neisseria
37429,Neisseria
37430,Neisseria
37431,Neisseria
37432,Neisseria
37433,Neisseria
37434,Neisseria
37435,Neisseria
37436,Neisseria
37437,Neisseria
37438,Neisseria
37439,Neisseria
37440,Neisseria
37441,Neisseria
37442,Neisseria
37443,Neisseria
37444,Neisseria
37445,Neisseria
37446,Neisseria
37447,Neisseria
37448,Neisseria
37449,Neisseria
37450,Neisseria
37451,Neisseria
37452,Neisseria
37453,Neisseria
37454,Neisseria
37455,Neisseria
37456,Neisseria
37457,Neisseria
37458,Neisseria
37459,Neisseria
37460,Neisseria
37461,Neisseria
37462,Neisseria
37463,Neisseria
37464,Neisseria
37465,Neisseria
37466,Neisseria
37467,Neisseria
37468,Neisseria
37469,Neisseria
37470,Neisseria
37471,Neisseria
37472,Neisseria
37473,Neisseria
37474,Neisseria
37475,Neisseria
37476,Neisseria
37477,Neisseria
37478,Neisseria
37479,Neisseria
37480,Neisseria
37481,Neisseria
37482,Neisseria
37483,Neisseria
37484,Neisseria
37485,Neisseria
37486,Neisseria
37487,Neisseria
37488,Neisseria
37489,Neisseria
37490,Neisseria
37491,Neisseria
37492,Neisseria
37493,Neisseria
37494,Neisseria
37495,Neisseria
37496,Neisseria
37497,Neisseria
37498,Neisseria
37499,Neisseria
37500,Neisseria
37501,Neisseria
37502,Neisseria
37503,Neisseria
37504,Neisseria
37505,Neisseria
37506,Neisseria
37507,Neisseria
37508,Neisseria
37509,Neisseria
37510,Neisseria
37511,Neisseria
