iso3,year,gdp
BLR,2016,5811.251148
BLR,2017,5964.914987
BLR,2018,6165.958532
BLR,2019,6267.765795
BLR,2020,6252.009473
BLR,2021,6457.751946
BLR,2022,6217.147292
BEL,1990,29441.66215
BEL,1991,29870.14777
BEL,1992,30204.56375
BEL,1993,29797.40632
BEL,1994,30664.30785
BEL,1995,31329.89207
BEL,1996,31681.93636
BEL,1997,32804.36054
BEL,1998,33376.57484
BEL,1999,34479.90645
BEL,2000,35674.79125
BEL,2001,35943.23796
BEL,2002,36393.24177
BEL,2003,36617.38038
BEL,2004,37761.28132
BEL,2005,38426.05191
BEL,2006,39147.76356
BEL,2007,40290.22776
BEL,2008,40151.84987
BEL,2009,39025.22079
BEL,2010,39777.92528
BEL,2011,39929.09514
BEL,2012,39975.57364
BEL,2013,39970.3175
BEL,2014,40421.42079
BEL,2015,41008.29672
BEL,2016,41318.01964
BEL,2017,41825.76283
BEL,2018,42382.31828
BEL,2019,43107.21482
BEL,2020,40620.10422
BEL,2021,42971.05804
BEL,2022,44075.86144
BLZ,1990,4185.207492
BLZ,1991,4567.64728
BLZ,1992,5014.297695
BLZ,1993,5220.64559
BLZ,1994,5119.192762
BLZ,1995,5021.867308
BLZ,1996,4921.528771
BLZ,1997,4927.029981
BLZ,1998,4943.16082
BLZ,1999,5204.56481
BLZ,2000,5693.741485
BLZ,2001,5795.345531
BLZ,2002,5903.978933
BLZ,2003,6259.038916
BLZ,2004,6353.227391
BLZ,2005,6301.915865
BLZ,2006,6400.181438
BLZ,2007,6421.955138
BLZ,2008,6148.522801
BLZ,2009,5955.111038
BLZ,2010,5881.382237
BLZ,2011,5742.670206
BLZ,2012,5831.158848
BLZ,2013,5960.360401
BLZ,2014,6069.46148
BLZ,2015,6142.478833
BLZ,2016,6024.835945
BLZ,2017,5806.065449
BLZ,2018,5756.852249
BLZ,2019,5907.348872
BLZ,2020,5040.122521
BLZ,2021,5733.102574
BLZ,2022,6345.322831
BEN,1990,771.075864
BEN,1991,779.423309
BEN,1992,778.2552682
BEN,1993,787.8191187
BEN,1994,774.2629219
BEN,1995,804.350333
BEN,1996,817.8497352
BEN,1997,839.9516967
BEN,1998,847.0744875
BEN,1999,865.4525625
BEN,2000,888.7301846
BEN,2001,908.347703
BEN,2002,922.4176387
BEN,2003,925.8492611
BEN,2004,938.0381781
BEN,2005,924.2695241
BEN,2006,931.7691409
BEN,2007,959.5549935
BEN,2008,977.3031632
BEN,2009,970.9659689
BEN,2010,962.8161095
BEN,2011,962.7445897
